Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
90,Luka Dončić,26,LAL,PG,13,13,484,29.2,.616,.480,.537,2.9,24.2,14.1,42.1,2.5,1.4,12.7,37.7,1.7,0.7,2.4,.237,8.2,1.7,9.9,1.5,,doncilu01
91,Donovan Clingan,21,POR,C,19,19,483,19.9,.576,.362,.243,19.0,23.5,21.1,9.4,1.3,5.4,7.7,14.9,1.2,0.5,1.8,.178,1.9,-0.5,1.4,0.4,,clingdo01
92,Sion James,23,CHO,SG,18,11,477,8.0,.582,.602,.269,1.7,11.8,6.7,7.8,1.4,1.1,14.0,10.6,0.2,0.1,0.4,.037,-3.3,-0.3,-3.6,-0.2,,jamessi01
93,Kel'el Ware,21,MIA,C,19,14,475,20.4,.618,.279,.238,14.1,29.0,21.9,3.2,1.9,5.0,9.1,17.8,0.9,1.1,2.0,.203,1.5,0.9,2.4,0.5,,wareke01
94,Julian Champagnie,24,SAS,SF,17,12,475,11.7,.586,.737,.248,3.9,16.3,10.4,6.7,1.6,1.4,12.1,15.5,0.3,0.7,1.0,.099,-0.3,0.1,-0.2,0.2,,champju02
95,Kyshawn George,22,WAS,SF,15,15,474,14.3,.608,.457,.245,3.1,17.5,10.4,22.8,1.6,2.5,20.3,22.5,0.1,0.2,0.2,.023,-0.3,-0.7,-1.0,0.1,,georgky01
96,Kyle Kuzma,30,MIL,PF,18,9,473,14.1,.569,.281,.308,3.3,17.3,10.3,10.9,1.3,1.8,9.9,21.5,0.3,0.4,0.7,.066,-2.2,-1.1,-3.3,-0.2,,kuzmaky01
97,John Collins,28,LAC,PF,18,9,469,12.1,.585,.298,.248,5.3,15.9,10.7,3.3,1.5,2.1,14.0,19.5,0.0,0.2,0.2,.020,-2.7,-1.9,-4.6,-0.3,,collijo01
98,Moses Moody,23,GSW,SG,18,10,468,12.5,.588,.698,.243,3.0,11.3,7.2,8.6,1.7,2.5,11.0,18.9,0.3,0.5,0.8,.082,-0.7,-0.3,-1.0,0.1,,moodymo01
99,Kris Dunn,31,LAC,PG,18,12,466,10.9,.595,.380,.185,3.8,7.1,5.5,14.7,2.7,0.8,17.0,13.3,0.3,0.2,0.5,.049,-2.8,0.1,-2.7,-0.1,,dunnkr01
100,Matas Buzelis,21,CHI,PF,17,17,465,12.8,.582,.415,.235,4.0,16.2,10.4,6.7,1.1,4.2,13.7,20.8,0.0,0.4,0.4,.037,-2.6,-0.7,-3.3,-0.2,,buzelma01
101,Jalen Duren,22,DET,C,16,16,464,26.2,.701,.000,.672,16.7,27.6,22.2,10.5,1.4,3.0,14.7,23.5,1.6,0.8,2.5,.257,3.5,-0.1,3.4,0.6,,durenja01
102,Ben Sheppard,24,IND,SG,18,8,462,6.3,.415,.577,.131,3.6,14.6,8.8,10.3,1.1,0.6,6.1,13.0,-0.3,0.3,0.0,-0.001,-4.8,-0.7,-5.5,-0.4,,sheppbe01
103,Noah Clowney,21,BRK,PF,17,11,462,11.1,.575,.712,.412,2.3,13.3,7.4,9.0,1.3,2.2,13.4,19.4,0.1,0.1,0.2,.017,-1.3,-1.4,-2.7,-0.1,,clownno01
104,Anthony Edwards,24,MIN,SG,14,14,460,23.3,.611,.435,.370,3.2,12.6,8.0,18.8,2.2,1.8,10.1,32.6,1.0,0.6,1.6,.169,5.6,0.1,5.7,0.9,,edwaran01
105,Jake LaRavia,24,LAL,PF,17,6,458,12.8,.583,.409,.307,5.5,12.2,9.0,10.9,2.4,1.1,11.1,15.2,0.5,0.5,1.0,.104,-0.9,0.3,-0.6,0.2,,laravja01
106,Norman Powell,32,MIA,SG,15,15,456,20.5,.649,.423,.394,1.2,11.1,6.4,11.5,1.9,0.6,9.0,27.6,1.0,0.6,1.6,.171,3.5,0.7,4.2,0.7,,powelno01
107,Tristan Da Silva,24,ORL,SF,19,7,453,14.9,.604,.529,.141,4.8,13.6,9.2,8.4,1.6,1.0,7.7,18.1,0.7,0.5,1.2,.124,1.7,0.1,1.8,0.4,,dasiltr01
108,Derik Queen,21,NOP,C,19,7,451,17.6,.552,.094,.376,8.5,22.1,14.7,23.7,2.3,3.8,17.3,23.5,0.2,0.3,0.5,.057,-0.8,0.5,-0.2,0.2,,queende01
109,Terance Mann,29,BRK,SG,17,17,451,11.8,.559,.400,.217,6.4,8.4,7.4,20.5,1.3,0.6,10.9,14.0,0.6,0.0,0.6,.067,-1.3,-1.1,-2.3,0.0,,mannte01
110,Svi Mykhailiuk,28,UTA,SF,17,17,448,9.8,.609,.709,.047,2.4,8.2,5.2,11.4,0.8,0.7,10.4,13.1,0.4,0.0,0.4,.043,-0.9,-1.5,-2.4,-0.1,,mykhasv01
111,Cameron Johnson,29,DEN,SF,16,16,445,10.2,.575,.488,.240,3.5,9.1,6.5,9.6,1.0,0.6,9.8,14.6,0.5,0.4,0.8,.088,-1.5,-1.2,-2.7,-0.1,,johnsca02
112,Collin Sexton,27,CHO,SG,17,10,443,15.4,.610,.324,.427,1.3,7.8,4.5,27.3,1.1,0.0,16.7,24.8,0.7,0.0,0.7,.073,-0.2,-2.6,-2.8,-0.1,,sextoco01
113,Alex Sarr,20,WAS,C,15,15,442,21.1,.577,.216,.221,8.6,21.4,15.1,19.2,1.2,5.9,11.9,26.1,0.4,0.2,0.7,.072,2.1,-0.4,1.7,0.4,,sarral01
114,Pelle Larsson,24,MIA,SG,19,15,441,12.6,.587,.472,.331,2.2,10.0,6.3,19.6,1.2,1.0,12.9,17.2,0.5,0.5,1.0,.109,-1.1,0.9,-0.1,0.2,,larsspe01
115,Chet Holmgren,23,OKC,PF,15,15,441,19.4,.650,.348,.315,5.8,23.2,14.9,9.2,1.2,5.1,14.2,23.5,0.6,1.1,1.8,.192,0.8,1.8,2.7,0.5,,holmgch01
116,Naz Reid,26,MIN,C,18,0,440,15.8,.557,.493,.124,6.4,18.5,12.6,11.9,1.8,3.5,10.5,22.6,0.3,0.7,1.0,.105,0.1,0.4,0.4,0.3,,reidna01
117,Deandre Ayton,27,LAL,C,15,15,438,18.1,.693,.000,.146,12.1,21.8,17.2,4.7,1.2,2.9,17.6,20.0,0.5,0.5,1.1,.118,-1.0,-1.1,-2.1,0.0,,aytonde01
118,Josh Hart,30,NYK,SF,16,2,436,15.5,.590,.420,.183,6.5,22.9,14.3,23.3,1.9,1.2,18.0,16.4,0.6,0.6,1.2,.134,0.7,1.3,2.0,0.4,,hartjo01
119,Anfernee Simons,26,BOS,SG,18,0,435,14.4,.582,.572,.154,1.5,9.0,5.2,16.2,0.9,0.9,10.4,23.6,0.6,0.3,0.8,.093,1.1,-1.3,-0.2,0.2,,simonan01
120,Peyton Watson,23,DEN,SF,17,7,435,13.5,.605,.363,.242,6.0,14.1,10.4,7.9,2.0,3.8,14.9,15.8,0.3,0.6,1.0,.107,-0.9,0.7,-0.2,0.2,,watsope01
121,De'Andre Hunter,28,CLE,SF,15,15,434,15.8,.588,.507,.305,2.9,15.4,9.0,14.7,1.2,0.6,10.1,24.4,0.6,0.5,1.0,.115,1.0,-0.4,0.6,0.3,,huntede01
122,Kris Murray,25,POR,SF,18,1,433,8.7,.510,.374,.176,7.5,9.7,8.6,6.0,2.2,0.6,12.5,10.2,0.2,0.3,0.4,.047,-2.9,0.2,-2.6,-0.1,,murrakr01
123,Kentavious Caldwell-Pope,32,MEM,SG,19,13,429,8.8,.481,.496,.236,1.7,9.1,5.3,19.0,1.4,0.9,11.9,15.4,-0.1,0.3,0.3,.028,-3.3,-0.3,-3.6,-0.2,,caldwke01
124,Jock Landale,30,MEM,C,19,13,428,16.0,.625,.314,.212,10.0,15.7,12.8,11.1,1.1,1.8,11.0,18.6,0.6,0.4,1.0,.116,0.6,-0.6,0.0,0.2,,landajo01
125,Bub Carrington,20,WAS,PG,17,5,428,5.5,.486,.463,.130,1.2,12.7,7.0,21.5,1.0,0.4,25.5,14.9,-0.5,-0.1,-0.6,-0.066,-5.2,-2.4,-7.6,-0.6,,carrica01
126,Shaedon Sharpe,22,POR,SG,15,14,421,16.6,.536,.370,.296,4.6,15.1,9.6,12.7,2.2,0.8,12.1,32.6,-0.1,0.3,0.3,.033,0.4,-1.5,-1.1,0.1,,sharpsh01
127,Jusuf Nurkić,31,UTA,C,17,12,420,11.8,.472,.229,.339,10.2,32.7,21.2,19.8,3.1,1.6,25.7,17.6,-0.5,0.6,0.0,.001,-4.3,1.5,-2.7,-0.1,,nurkiju01
128,Kelly Oubre Jr.,30,PHI,SF,12,12,418,13.7,.606,.450,.255,3.6,12.5,8.0,5.6,1.5,2.1,9.8,18.4,0.4,0.3,0.7,.085,-0.8,-0.4,-1.2,0.1,,oubreke01
129,Grayson Allen,30,PHO,SG,13,13,417,17.8,.638,.659,.197,1.6,9.3,5.4,19.8,2.4,0.9,10.9,21.1,1.0,0.5,1.5,.169,2.8,0.3,3.1,0.5,,allengr01
130,Stephon Castle,21,SAS,PG,13,13,416,17.5,.585,.323,.548,5.6,14.5,10.2,34.1,2.6,1.1,21.3,25.0,0.4,0.7,1.1,.124,0.1,0.7,0.8,0.3,,castlst01
131,Victor Wembanyama,22,SAS,C,12,12,416,25.8,.609,.262,.380,6.7,33.9,20.8,18.9,1.5,9.6,14.3,30.7,0.7,1.1,1.7,.201,3.0,3.6,6.6,0.9,,wembavi01
132,Giannis Antetokounmpo,31,MIL,PF,13,13,414,34.6,.662,.073,.532,13.1,25.5,19.3,42.0,1.4,3.5,13.1,37.0,1.8,0.5,2.3,.270,9.2,2.2,11.3,1.4,,antetgi01
133,Bobby Portis,30,MIL,PF,19,2,413,14.8,.581,.345,.090,6.3,23.3,14.8,8.2,1.0,0.2,9.8,21.5,0.2,0.3,0.5,.063,-0.2,-2.1,-2.3,0.0,,portibo01
134,Keldon Johnson,26,SAS,SF,17,0,411,19.3,.650,.288,.267,10.8,18.8,15.0,10.9,1.6,0.2,9.4,18.6,1.1,0.6,1.7,.196,2.2,0.0,2.3,0.4,,johnske04
135,Ryan Kalkbrenner,24,CHO,C,16,16,410,18.3,.810,.012,.309,14.2,16.3,15.2,2.2,1.5,6.2,20.0,11.7,0.8,0.4,1.2,.140,0.1,0.2,0.3,0.2,,kalkbry01
136,Mark Williams,24,PHO,C,16,13,410,22.8,.686,.000,.437,14.8,24.4,19.5,6.5,2.6,3.5,9.6,16.9,1.3,0.8,2.1,.242,1.7,0.7,2.4,0.5,,willima07
137,Moussa Diabaté,24,CHO,C,18,1,409,21.4,.693,.000,.670,19.8,20.8,20.3,7.2,1.1,4.9,10.0,14.2,1.4,0.3,1.7,.202,1.7,-0.8,0.9,0.3,,diabamo01
138,Tim Hardaway Jr.,33,DEN,SG,17,1,404,13.1,.612,.657,.168,1.5,7.0,4.4,7.7,1.0,0.5,2.5,16.6,0.8,0.3,1.1,.129,1.3,-1.4,-0.2,0.2,,hardati02
139,Neemias Queta,26,BOS,C,17,17,402,19.7,.633,.027,.239,13.8,22.4,18.0,10.2,1.4,5.6,9.4,14.7,1.1,0.6,1.7,.201,0.1,1.4,1.5,0.4,,quetane01
140,Dillon Brooks,30,PHO,SF,13,13,402,15.6,.569,.452,.231,2.8,9.0,5.9,8.8,2.8,0.5,10.6,28.2,0.2,0.5,0.7,.086,-0.7,-0.4,-1.1,0.1,,brookdi01
141,Jrue Holiday,35,POR,PG,12,12,401,17.1,.565,.512,.151,4.1,13.3,8.4,36.5,2.2,0.7,16.5,20.9,0.6,0.3,0.9,.111,2.7,-0.3,2.4,0.4,,holidjr01
142,Ron Holland,20,DET,SF,18,5,400,9.6,.481,.396,.179,4.1,13.2,8.7,10.8,3.8,1.5,16.7,17.9,-0.4,0.7,0.3,.040,-4.9,1.9,-3.0,-0.1,,hollaro01
143,Tre Jones,26,CHI,PG,14,11,400,16.3,.604,.188,.616,3.0,10.2,6.7,24.5,2.8,0.6,13.9,17.1,0.8,0.3,1.1,.130,-0.8,1.0,0.2,0.2,,jonestr01
144,Reed Sheppard,21,HOU,PG,16,2,399,19.6,.629,.576,.122,1.7,10.5,6.1,19.4,3.3,1.8,9.9,20.8,1.1,0.6,1.7,.208,4.6,2.7,7.3,0.9,,sheppre01
145,Ausar Thompson,23,DET,SF,14,13,399,15.5,.530,.105,.308,6.9,15.1,11.1,14.3,2.8,3.0,9.5,18.5,0.3,0.7,1.0,.121,-0.6,1.8,1.2,0.3,,thompau01
146,Ayo Dosunmu,26,CHI,SG,15,3,397,18.0,.688,.373,.297,1.6,8.2,5.1,16.6,0.8,0.8,9.6,20.6,1.0,0.1,1.1,.134,2.3,-1.4,0.8,0.3,,dosunay01
147,Bruce Brown,29,DEN,SG,17,0,396,8.9,.513,.300,.230,5.1,12.9,9.3,8.6,1.8,0.7,12.0,13.4,0.1,0.5,0.6,.069,-3.5,0.0,-3.5,-0.2,,brownbr01
148,Kevin Huerter,27,CHI,SF,16,5,395,14.5,.589,.484,.197,2.5,12.0,7.5,14.9,1.6,2.9,11.4,20.2,0.3,0.3,0.6,.070,-0.4,0.1,-0.3,0.2,,huertke01
149,Paolo Banchero,23,ORL,PF,12,12,393,18.9,.573,.247,.624,3.2,26.4,14.9,19.1,1.1,2.4,12.4,27.6,0.5,0.6,1.1,.129,1.6,1.2,2.7,0.5,,banchpa01
150,Bam Adebayo,28,MIA,C,13,13,392,17.6,.566,.356,.346,4.3,22.7,14.0,12.6,1.3,2.3,9.5,25.1,0.3,0.7,1.0,.123,1.0,1.2,2.2,0.4,,adebaba01
151,Zaccharie Risacher,20,ATL,SF,16,16,391,12.7,.531,.488,.139,3.4,9.0,6.2,9.4,2.1,2.9,6.4,20.4,0.0,0.4,0.5,.056,-2.0,-0.6,-2.6,-0.1,,risacza01
152,Klay Thompson,35,DAL,SF,18,8,389,8.7,.483,.745,.043,1.3,9.9,5.7,11.1,0.8,1.3,8.2,22.4,-0.5,0.4,-0.1,-0.009,-1.7,-1.1,-2.8,-0.1,,thompkl01
153,Andre Drummond,32,PHI,C,16,8,387,17.0,.598,.224,.286,15.5,33.4,24.3,4.0,1.5,3.7,12.0,13.5,0.6,0.6,1.2,.147,-0.1,-0.4,-0.5,0.2,,drumman01
154,Ryan Dunn,23,PHO,SF,16,11,385,13.8,.560,.416,.133,8.7,13.9,11.3,10.7,2.8,2.7,11.8,14.7,0.4,0.6,1.0,.124,-0.9,1.3,0.3,0.2,,dunnry01
155,Javonte Green,32,DET,SG,18,3,383,10.8,.547,.495,.369,4.0,12.7,8.4,6.0,2.1,2.1,10.5,14.4,0.2,0.5,0.7,.093,-2.4,0.6,-1.8,0.0,,greenja02
156,Malik Monk,27,SAC,SG,16,0,383,14.2,.577,.427,.158,1.7,6.3,4.0,13.2,1.6,2.0,8.5,22.3,0.2,0.1,0.3,.037,0.6,-1.2,-0.6,0.1,,monkma01
157,Sam Hauser,28,BOS,PF,18,2,382,8.5,.493,.873,.034,3.6,12.8,8.2,8.1,1.2,1.0,8.4,14.7,0.1,0.3,0.4,.047,-1.6,-0.9,-2.6,-0.1,,hausesa01
158,Cam Spencer,25,MEM,SG,19,1,381,16.4,.646,.682,.258,1.4,9.9,5.6,26.2,1.6,0.2,10.4,17.9,0.9,0.3,1.2,.147,2.5,0.2,2.7,0.4,,spencca01
159,Dean Wade,29,CLE,PF,17,2,381,9.4,.500,.735,.193,4.2,15.2,9.5,9.0,1.7,2.6,6.2,10.4,0.2,0.5,0.7,.092,-2.3,1.6,-0.6,0.1,,wadede01
160,Luguentz Dort,26,OKC,SF,13,13,379,7.5,.506,.708,.135,5.5,8.9,7.3,5.0,1.4,1.1,8.1,12.6,0.1,0.7,0.8,.098,-3.2,0.3,-2.9,-0.1,,dortlu01
161,Marcus Smart,31,LAL,SG,14,9,375,10.3,.555,.612,.311,3.0,7.0,5.1,14.2,3.2,1.1,18.7,16.5,0.0,0.4,0.5,.058,-3.2,0.9,-2.3,0.0,,smartma01
162,Brandon Williams,26,DAL,PG,17,9,373,13.2,.492,.321,.377,3.3,9.2,6.3,28.7,3.3,0.9,16.4,25.3,-0.4,0.6,0.2,.027,-3.2,1.2,-2.0,0.0,,willibr03
163,Isaac Okoro,25,CHI,SG,15,15,373,8.5,.576,.480,.204,4.9,6.1,5.6,8.4,0.7,2.2,12.3,13.5,0.2,0.1,0.3,.037,-3.0,-1.3,-4.4,-0.2,,okorois01
164,OG Anunoby,28,NYK,PF,12,12,373,16.3,.601,.537,.170,5.4,14.9,9.9,9.7,3.0,2.2,12.2,20.0,0.4,0.5,1.0,.123,1.3,1.1,2.4,0.4,,anunoog01
165,Jose Alvarado,27,NOP,PG,18,0,372,13.3,.576,.641,.102,2.5,14.7,8.1,20.1,2.3,0.0,13.6,17.3,0.3,0.1,0.4,.057,-0.8,-0.9,-1.6,0.0,,alvarjo01
166,Aaron Gordon,30,DEN,PF,13,13,368,20.5,.676,.409,.390,6.1,16.4,11.6,6.6,1.3,0.7,9.1,22.9,1.1,0.4,1.5,.194,3.8,-1.4,2.4,0.4,,gordoaa01
167,Jaylon Tyson,23,CLE,SG,14,10,367,14.8,.669,.545,.125,6.0,13.4,9.6,9.6,1.9,2.5,10.6,14.9,0.7,0.5,1.2,.154,0.2,1.2,1.4,0.3,,tysonja01
168,Ace Bailey,19,UTA,SF,17,8,366,11.8,.548,.455,.131,8.8,8.5,8.7,11.9,1.8,0.8,13.0,19.5,0.1,0.1,0.2,.029,-1.8,-1.9,-3.7,-0.1,,baileac01
169,Domantas Sabonis,29,SAC,C,11,11,365,17.5,.564,.138,.352,11.1,30.9,20.8,17.2,1.7,0.5,14.3,22.8,0.3,0.3,0.6,.074,-0.5,-0.7,-1.2,0.1,,sabondo01
170,Tyrese Martin,26,BRK,SG,17,2,364,12.0,.508,.580,.168,5.3,12.8,8.8,19.7,1.6,0.8,11.9,18.8,0.1,0.1,0.1,.014,-0.7,-1.5,-2.2,0.0,,martity01
171,D'Angelo Russell,29,DAL,PG,17,3,364,12.2,.491,.464,.309,2.0,11.4,6.8,37.5,1.2,0.5,16.3,28.2,-0.5,0.4,-0.1,-0.007,-1.5,-1.4,-3.0,-0.1,,russeda01
172,Tre Johnson,19,WAS,SG,15,4,364,10.0,.565,.521,.110,2.0,10.7,6.4,8.0,0.8,1.7,13.6,20.3,-0.2,-0.1,-0.3,-0.034,-1.7,-3.1,-4.8,-0.3,,johnstr03
173,Jarrett Allen,27,CLE,C,14,14,364,20.8,.627,.029,.467,9.6,22.4,15.8,11.0,2.0,3.0,11.8,21.2,0.7,0.6,1.3,.177,1.1,0.8,1.9,0.4,,allenja01
174,Jakob Poeltl,30,TOR,C,14,14,364,17.6,.718,.000,.488,13.0,22.1,17.6,9.7,1.3,2.2,14.7,14.2,0.9,0.6,1.5,.194,0.1,0.7,0.8,0.3,,poeltja01
175,Mike Conley,38,MIN,PG,18,5,361,11.2,.594,.688,.312,1.9,8.0,5.0,22.1,1.6,0.7,14.6,11.9,0.6,0.3,0.9,.125,-1.2,0.4,-0.8,0.1,,conlemi01
176,Lonzo Ball,28,CLE,PG,15,3,360,9.1,.441,.827,.122,4.1,15.8,9.8,27.6,2.1,1.3,22.5,15.3,-0.2,0.5,0.3,.039,-2.8,1.1,-1.8,0.0,,balllo01
177,Jonathan Kuminga,23,GSW,PF,13,12,360,12.8,.570,.272,.353,6.4,19.9,13.1,16.1,0.7,1.0,18.2,22.5,0.0,0.4,0.3,.045,-2.5,-1.3,-3.8,-0.2,,kuminjo01
178,Simone Fontecchio,30,MIA,SF,19,0,357,13.1,.599,.718,.221,3.0,11.5,7.5,11.2,1.3,0.8,10.9,20.8,0.3,0.4,0.7,.099,0.7,0.1,0.8,0.2,,fontesi01
179,Miles McBride,25,NYK,SG,14,5,357,11.8,.555,.636,.093,2.7,8.4,5.4,13.0,1.5,0.9,7.6,16.9,0.4,0.3,0.7,.092,0.0,-0.3,-0.3,0.2,,mcbrimi01
180,Egor Dёmin,19,BRK,PG,16,9,355,9.8,.507,.698,.086,2.7,15.6,8.7,23.5,1.8,0.8,17.8,17.7,-0.2,0.1,-0.1,-0.010,-2.2,-0.9,-3.1,-0.1,,demineg01
181,Jamal Shead,23,TOR,PG,19,0,354,14.4,.586,.560,.405,1.6,7.8,4.8,36.6,2.2,0.6,18.2,14.5,0.7,0.4,1.2,.157,0.3,0.3,0.6,0.2,,sheadja01
182,Buddy Hield,33,GSW,SG,20,0,352,9.8,.538,.656,.102,2.8,9.4,6.1,13.2,2.3,0.0,14.7,18.8,-0.1,0.4,0.2,.029,-3.3,-0.3,-3.6,-0.1,,hieldbu01
183,Vit Krejci,25,ATL,PG,15,1,351,13.0,.732,.775,.118,1.3,8.8,5.1,10.8,0.8,0.8,9.3,14.3,0.7,0.2,0.9,.122,0.5,-1.0,-0.5,0.1,,krejcvi01
184,Luke Kennard,29,ATL,SG,16,0,347,11.8,.641,.585,.181,2.9,7.0,5.0,13.5,2.1,0.3,15.1,14.6,0.4,0.3,0.7,.091,-1.2,-0.3,-1.6,0.0,,kennalu01
185,Isaiah Jackson,24,IND,C,18,14,346,15.7,.628,.000,.479,12.3,19.1,15.5,8.7,1.6,3.4,16.2,16.1,0.5,0.4,0.8,.116,-2.4,0.0,-2.4,0.0,,jacksis01
186,Tre Mann,24,CHO,PG,16,1,345,8.2,.463,.497,.078,3.6,12.3,8.0,20.6,1.5,0.5,15.6,24.7,-0.5,0.1,-0.4,-0.059,-4.0,-2.2,-6.2,-0.4,,manntr01
187,Ja Morant,26,MEM,PG,12,12,345,12.7,.477,.308,.354,1.8,11.3,6.5,42.1,1.7,0.3,16.6,32.5,-0.5,0.3,-0.2,-0.029,-2.3,-2.4,-4.7,-0.2,,moranja01
188,Josh Okogie,27,HOU,SG,16,12,344,12.3,.576,.540,.310,6.5,6.1,6.3,6.7,3.3,0.6,9.2,13.1,0.5,0.5,1.0,.137,-1.0,1.9,0.9,0.2,,okogijo01
189,Patrick Williams,24,CHI,PF,16,1,343,9.7,.544,.602,.223,3.2,10.7,7.1,9.5,2.2,1.4,13.1,15.7,0.0,0.2,0.2,.027,-2.7,-0.2,-2.9,-0.1,,willipa01
190,Isaiah Stewart,24,DET,C,15,5,340,16.5,.600,.345,.259,10.1,20.0,15.1,8.1,0.4,8.5,11.6,17.7,0.5,0.5,1.0,.148,-0.4,0.9,0.6,0.2,,stewais01
191,Isaiah Joe,26,OKC,SG,14,0,340,15.4,.654,.810,.278,2.4,9.3,6.0,8.5,1.4,0.9,9.0,19.8,0.7,0.6,1.3,.182,1.3,-0.3,1.0,0.3,,joeis01
192,Andrew Nembhard,26,IND,PG,11,11,339,14.1,.539,.395,.388,0.9,5.5,3.1,33.1,1.4,0.5,12.7,24.7,0.2,0.1,0.4,.051,0.6,-2.4,-1.9,0.0,,nembhan01
193,Cole Anthony,25,MIL,PG,18,0,338,10.8,.462,.303,.110,3.3,16.4,9.9,36.8,1.8,2.0,20.9,26.5,-0.6,0.3,-0.3,-0.045,-3.9,-0.8,-4.7,-0.2,,anthoco01
194,Corey Kispert,26,WAS,SF,17,2,338,14.1,.657,.650,.282,1.9,10.9,6.5,12.1,1.1,0.8,8.7,15.6,0.6,-0.1,0.5,.077,0.8,-2.0,-1.2,0.1,,kispeco01
195,Aaron Nesmith,26,IND,SF,11,11,335,12.1,.518,.565,.265,5.0,10.5,7.6,8.2,1.3,0.8,4.6,21.1,0.2,0.2,0.4,.052,-0.3,-1.8,-2.1,0.0,,nesmiaa01
196,LaMelo Ball,24,CHO,PG,11,11,334,18.1,.510,.497,.249,5.1,19.6,12.4,47.7,2.0,0.3,15.5,32.2,0.2,0.2,0.4,.063,1.6,-1.6,0.0,0.2,,ballla01
197,Sandro Mamukelashvili,26,TOR,C,18,1,333,19.0,.669,.388,.298,7.6,16.6,12.2,14.0,1.3,2.1,9.9,19.3,0.9,0.5,1.3,.193,2.7,0.4,3.0,0.4,,mamuksa01
198,Will Richard,23,GSW,SG,18,8,330,16.4,.684,.578,.284,7.3,9.0,8.1,9.8,2.8,0.3,9.5,16.2,0.8,0.4,1.1,.165,0.8,0.8,1.6,0.3,,richawi02
199,Khris Middleton,34,WAS,SF,13,13,330,11.2,.545,.317,.212,5.4,11.5,8.5,17.7,1.4,1.3,15.6,17.0,0.1,0.0,0.1,.014,-2.7,-1.8,-4.5,-0.2,,middlkh01
200,Josh Minott,23,BOS,PF,17,9,328,17.7,.642,.511,.213,9.8,18.5,14.1,9.9,2.3,1.8,9.7,14.9,0.8,0.5,1.3,.186,1.4,0.9,2.3,0.4,,minotjo01
201,Dru Smith,28,MIA,SG,19,0,326,14.6,.550,.439,.214,5.9,9.1,7.6,21.2,4.2,1.1,15.7,15.8,0.3,0.6,0.9,.130,-1.0,4.0,2.9,0.4,,smithdr01
202,Jaylin Williams,23,OKC,PF,18,1,326,11.2,.513,.846,.187,3.2,23.3,13.8,17.4,1.6,2.5,15.5,15.4,0.0,0.8,0.9,.125,-1.8,2.1,0.3,0.2,,willija07
203,Jalen Suggs,24,ORL,PG,14,14,326,19.7,.661,.556,.333,3.8,15.1,9.5,32.7,3.2,2.1,22.1,23.9,0.6,0.6,1.1,.163,2.3,2.3,4.7,0.6,,suggsja01
204,Nicolas Batum,37,LAC,PF,18,2,325,9.3,.578,.929,.057,2.9,14.8,9.0,5.0,2.6,2.4,12.2,11.1,0.1,0.2,0.3,.045,-1.9,0.4,-1.5,0.0,,batumni01
205,Christian Braun,24,DEN,SG,11,11,325,12.7,.569,.289,.299,6.6,9.6,8.2,13.1,1.3,0.8,11.3,16.2,0.4,0.3,0.7,.108,-0.9,-0.8,-1.7,0.0,,braunch01
206,Derrick Jones Jr.,28,LAC,SF,13,13,324,14.7,.652,.500,.304,4.0,7.1,5.6,6.5,1.7,4.5,8.7,15.6,0.5,0.1,0.6,.096,0.7,-0.5,0.3,0.2,,jonesde02
207,Ziaire Williams,24,BRK,SF,14,0,323,9.3,.546,.724,.286,3.3,9.9,6.4,3.8,1.7,2.0,9.9,17.4,0.0,0.1,0.1,.009,-3.0,-1.6,-4.6,-0.2,,willizi02
208,Jordan Clarkson,33,NYK,SG,17,0,321,13.9,.600,.475,.194,5.2,5.8,5.5,12.6,0.9,1.0,11.2,21.9,0.5,0.2,0.7,.100,-0.2,-1.8,-2.0,0.0,,clarkjo01
209,Kyle Filipowski,22,UTA,C,16,5,320,12.8,.540,.383,.364,8.7,23.0,15.7,15.8,0.9,3.1,14.5,18.4,0.2,0.2,0.3,.052,-2.3,-0.4,-2.7,-0.1,,filipky01
210,Quinten Post,25,GSW,PF,20,8,319,14.2,.570,.682,.118,6.2,21.4,13.8,10.9,2.1,3.1,12.1,17.4,0.2,0.5,0.7,.100,-0.3,1.2,0.9,0.2,,postqu01
211,Mouhamed Gueye,23,ATL,PF,19,2,318,12.3,.548,.454,.124,9.9,16.6,13.3,9.7,1.2,3.5,12.0,15.5,0.2,0.4,0.5,.083,-2.4,-0.2,-2.5,0.0,,gueyemo02
212,Jordan Goodwin,27,PHO,PG,16,2,318,15.0,.536,.469,.071,11.3,14.6,12.9,14.1,3.7,0.9,14.6,17.9,0.2,0.5,0.8,.114,-0.1,1.5,1.4,0.3,,goodwjo01
213,Keon Ellis,26,SAC,SG,18,2,317,11.3,.600,.708,.112,1.7,8.0,4.8,4.7,3.6,2.4,8.8,13.8,0.1,0.3,0.4,.055,-1.7,1.8,0.1,0.2,,elliske01
214,Kristaps Porziņģis,30,ATL,C,12,12,316,22.8,.613,.383,.422,6.7,18.1,12.5,18.7,0.8,5.6,5.7,26.0,1.0,0.4,1.4,.211,3.7,1.1,4.9,0.6,,porzikr01
